#menu_name,category,price,kcal,protein,fat,carbohydrate,sodium
牛皿ミニ,side,220,219,11.1,16.2,7.3,1.8
牛皿並盛,side,260,317,16.0,23.6,10.3,2.5
牛皿中盛,side,390,460,23.0,34.6,14.1,3.3
牛皿2倍盛,side,490,622,31.1,47.0,18.6,4.4
牛皿3倍盛,side,720,927,46.2,70.5,27.0,6.3
牛皿4倍盛,side,950,1232,61.3,93.9,35.3,8.1
牛皿5倍盛,side,1180,1536,76.4,117.4,43.6,10.0
豚皿ミニ,side,250,182,11.3,12.6,5.9,1.7
豚皿並盛,side,290,258,16.2,17.9,8.1,2.4
豚皿中盛,side,420,376,23.4,26.5,11.0,3.2
豚皿2倍盛,side,520,507,31.6,35.9,14.4,4.2
豚皿3倍盛,side,750,752,46.8,53.7,20.6,6.0
豚皿4倍盛,side,980,998,62.1,71.4,26.8,7.8
豚皿5倍盛,side,1210,1243,77.4,89.2,32.9,9.5
四川風麻婆皿,side,480,387,14.0,30.8,14.5,4.2
エビチリ皿,side,550,270,9.2,17.5,19.7,4.7
季節のひじき煮,side,80,31,1.1,0.6,6.0,0.8
さば,side,230,189,11.4,14.5,3.4,0.84
鮭,side,230,153,13.9,10.5,0.7,1.26
からあげ2個,side,100,123,10.1,6.8,5.2,0.82
からあげ6個,side,280,368,30.4,20.5,15.5,2.47
冷やっこ,side,130,90,8.8,4.7,3.3,0.04
納豆,side,90,111,8.6,5.1,7.2,0.64
ごはんミニ,side,130,277,4.6,1.0,62.6,0.00
ごはん並,side,160,415,7.0,1.4,93.8,0.01
ごはん大盛,side,190,554,9.3,1.9,125.1,0.01
食べラー・メンマ,side,150,210,2.1,19.6,8.2,1.6
ラー油,side,70,187,1.2,19.0,3.9,0.4
ごまだれ,side,50,51,1.2,4.0,2.7,0.4
にんにくゴマだれ,side,110,92,2.6,5.4,8.9,0.7
フライドにんにく,side,60,42,1.5,1.4,6.2,0.2
かつぶしオクラ,side,130,30,2.5,0.1,5.9,1.04
キムチ,side,130,28,1.9,0.4,5.3,2.2
山かけ(わさび付),side,130,47,1.6,0.2,10.1,0.2
おろしポン酢,side,130,21,1.1,0.1,4.1,1.2
高菜明太マヨ,side,130,103,1.8,9.6,4.0,1.9
高菜,side,100,29,1.2,2.0,2.9,1.4
明太マヨ,side,40,74,0.5,7.5,1.1,0.5
青ねぎ,side,60,9,0.5,0.1,2.1,0.00
のり,side,30,3,0.6,0.1,0.6,0.06
マヨネーズ,side,30,113,0.3,12.1,0.1,0.3
コチュジャンだれ,side,20,17,0.5,0.7,2.3,0.6
クッキー＆クリームアイスクリーム,drink,180,219,3.7,13.5,20.6,0.2
黒糖ゼリーミルクティー,drink,220,176,3.5,3.7,32.7,0.3
なめらかカラメルぷりん,drink,150,189,3.6,13.4,13.7,0.10
とろけるダブルショコラ,drink,150,193,3.6,12.5,17.6,0.09
コカ・コーラM,drink,110,99,0.0,0.0,24.8,0.01
コカ・コーラL,drink,160,133,0.0,0.0,33.5,0.02
ミニッツメイドオレンジM,drink,110,108,0.5,0.2,24.6,0.01
ミニッツメイドオレンジL,drink,160,146,0.6,0.3,33.2,0.01
ファンタメロンM,drink,110,110,0.0,0.0,27.6,0.01
ファンタメロンL,drink,160,149,0.0,0.0,37.2,0.02
カルピスM,drink,110,122,0.5,0.0,29.9,0.02
カルピスL,drink,160,164,0.6,0.0,40.3,0.02
飯茶,drink,100,0,0.0,0.0,0.0,0.05
黒烏龍茶,drink,110,5,0.5,0.0,0.5,0.08
ホットコーヒー砂糖・ﾐﾙｸ除く,drink,110,7,0.4,0.0,1.2,0.00
アイスコーヒーｶﾞﾑｼﾛｯﾌﾟ・ﾐﾙｸ除く M,drink,110,4,0.2,0.0,0.8,0.00
アイスコーヒーｶﾞﾑｼﾛｯﾌﾟ・ミルク除く L,drink,160,6,0.3,0.0,1.0,0.00
りんごジュース,drink,110,78,0.2,0.0,21.4,0.02
やさいとフルーツジュース,drink,110,80,0.0,0.0,19.2,0.05
ビール(中瓶),drink,420,210,2.0,0.0,15.0,0.10
ノンアルコールビール,drink,270,0,0.0,0.0,0.0,0.03
